title,artist,cover,year,id,hasSleeve
Charlie Hunter,Baboon Strength,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241111.jpeg,Sensual,gnawa,TRUE
Ray Bonneville,Bad Man's Blood,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224123.jpeg,Yearning,french jazz-chanson-lounge,TRUE
DISPATCH,Bang Bang,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource44.jpg,Fiery,gnawa,TRUE
Beth Hart,Bang Bang Boom Boom,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource80.jpg,Yearning,alt country-americana-roots rock,TRUE
Emancipator,Baralku,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224179.jpeg,Fiery,classical piano-classical-classical-classical piano-opera-chamber music,TRUE
Emancipator,Baralku,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource196.jpg,Serious,classical piano-classical-minimalism-classical piano,TRUE
Barbara Keith,Barbara Keith,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224181.jpeg,Serious,bluegrass-newgrass-americana-folk-alt country,TRUE
Fleetwood Mac,Bare Trees,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource217.jpg,Fiery,americana-folk-americana-country-americana-alt country,TRUE
Jon Batiste,Battle Hymn of the Republic,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource30.jpg,Romantic,alt country-americana-outlaw country,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224180.jpeg,Fiery,alt country-americana-outlaw country,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224188.jpeg,Yearning,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241108.jpeg,Fiery,alt country-americana-roots rock,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224173.jpeg,Upbeat,alt country-americana-roots rock,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224151.jpeg,Fiery,alt country-americana-singer-songwriter,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224155.jpeg,Sensual,alt country-americana-singer-songwriter,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224189.jpeg,Stirring,alt country-americana-singer-songwriter,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224184.jpeg,Sensual,alt country-americana-singer-songwriter,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224125.jpeg,Empowering,americana,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource184.jpg,Fiery,americana,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224178.jpeg,Serious,americana,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224153.jpeg,Somber,americana-alt country,TRUE
Frank Turner,Be More Kind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224143.jpeg,Fiery,americana-alt country,TRUE
Langhorne Slim,Be Set Free,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224156.jpeg,Fiery,americana-folk-alt country,TRUE
9 Lazy 9,Bedsofaland,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource124.jpg,Yearning,bluegrass-newgrass-americana-folk-alt country,TRUE
Sol Driven Train,Believe,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224152.jpeg,Gritty,alt country-americana-roots rock-country rock,TRUE
John Hiatt & The Goners,Beneath This Gruff Exterior,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224145.jpeg,Easygoing,free jazz-jazz-free jazz-jazz,TRUE
Love,Black Beauty (Deluxe Version),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224148.jpeg,Peaceful,americana,TRUE
Big Head Todd and The Monsters,Black Beehive,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224149.jpeg,Fiery,classical piano-classical-classical piano-classical,TRUE
Rosanne Cash,Black Cadillac,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224146.jpeg,Sensual,classical piano-classical-classical-classical piano,TRUE
Santana& Chris Stapleton,Blessings and Miracles,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource312.jpg,Sensual,classical piano-classical-classical piano-classical,TRUE
Blind Melon,Blind Melon,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource195.jpg,Yearning,afro soul-afropop,TRUE
Blind Melon,Blind Melon,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224186.jpeg,Sensual,alt country-americana,TRUE
The Cat Empire,Blood on the Stage,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource131.jpg,Fiery,americana-folk-alt country,TRUE
Cautious Clay,Blood Type,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241104.jpeg,Fiery,country-classic country,TRUE
The Herbaliser,Blow Your Headphones,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource408.jpg,Fiery,americana-folk-americana-country-americana-alt country,TRUE
King Curtis,Blowin' Off Steam,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224168.jpeg,Serious,alt country-anti-folk-folk punk-singer-songwriter-americana-alt country-americana-indie rock,TRUE
Scott Hirsch,Blue Rider Songs,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224159.jpeg,Urgent,bluegrass-newgrass-americana-folk,TRUE
Sheku Kanneh-Mason,Bob Marley: No Woman& No Cry (Arr. Cello),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224127.jpeg,Yearning,bluegrass-newgrass-americana-folk-alt country,TRUE
Bobby Alu,Bobby Alu,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource311.jpg,Fiery,alt country-americana-roots rock,TRUE
Steve Miller Band,Book Of Dreams,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241103.jpeg,Sensual,idm-ambient,TRUE
Blue King Brown,Born Free,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224117.jpeg,Yearning,idm-ambient,TRUE
Buffalo Nichols,Buffalo Nichols,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241105.jpeg,Sensual,americana-bluegrass-alt country-folk-southern gothic,TRUE
Shovels & Rope& Brandi Carlile,Busted Jukebox Volume 2,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource81.jpg,Peaceful,americana-alt country,TRUE
Wilczynski,Cafe Microphone / 32° Fahrenheit,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource110.jpg,Rowdy,acid jazz-jazz funk,TRUE
Wilczynski,Cafe Microphone / 32° Fahrenheit,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource172.jpg,Fiery,alt country-americana,TRUE
10\&000 Maniacs,Campfire Songs: The Popular& Obscure and Unknown Recordings of 10&000 Maniacs,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224138.jpeg,Yearning,country-classic country,TRUE
Bukahara,Canaries in a Coal Mine,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224142.jpeg,Yearning,alt country-americana-roots rock,TRUE
Delta Rae& Lindsey Buckingham,Carry the Fire,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224157.jpeg,Fiery,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
Amanda Shires,Carrying Lightning,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource112.jpg,Stirring,americana-folk-alt country,TRUE
Band of Horses,Cease To Begin,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224133.jpeg,Gritty,americana,TRUE
Charles Bradley& The Budos Band,Changes,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource807.jpeg,Fiery,gnawa,TRUE
Moderator,Chasing the Sun,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224128.jpeg,Fiery,edm-dance,TRUE
Chet Atkins& Mark Knopfler,Chet Atkins Certified Guitar Player,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224187.jpeg,Fiery,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
AQUA STONE THRONE,Children of Light,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224134.jpeg,Tender,alt country-americana-roots rock,TRUE
Chris Thile& Brad Mehldau,Chris Thile & Brad Mehldau,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource822.jpeg,Empowering,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
Sunnan,Cinema Sound System,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource113.jpg,Fiery,alt country-americana-singer-songwriter,TRUE
The Cat Empire,Cities,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224147.jpeg,Fiery,gnawa,TRUE
Craig Finn,Clear Heart Full Eyes,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224139.jpeg,Fiery,edm-dance,TRUE
Robert Palmer,Clues (Expanded Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource2.jpg,Fiery,alt country-americana-roots rock-country rock,TRUE
Sylvan Esso,Cluster Flies,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource41.jpg,Tender,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
Ömer Balık,Coffee Blues,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource82.jpg,Tender,americana-folk-americana-country-americana-alt country,TRUE
Raz Simone,Cognitive Dissonance& Pt. 2,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241106.jpeg,Stirring,gnawa,TRUE
Ryan Adams & The Cardinals,Cold Roses,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241107.jpeg,Fiery,gnawa,TRUE
Brent Cowles,Cold Times,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224129.jpeg,Romantic,alt country-americana-roots rock-country rock,TRUE
Buckethead,Colma,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource820.jpeg,Sensual,americana,TRUE
